1.5,0.5,1.5,0.5,1.5,0.5,2.0,1.0,-0.5,0.5,1.5,0.5,2.0,1.0,-0.5,0.5,1.5,0.5,2.0,1.0,-0.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5
1.5,0.5,2.0,1.0,-0.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.0,-1.0,1.0,-1.0,-2.0,-6.0,1.0,-1.0,1.0,-1.0,-2.0,-6.0
1.5,0.5,1.5,0.5,1.0,-1.0,1.0,-1.0,-2.0,-6.0,1.0,-1.0,1.0,-1.0,-2.0,-6.0,2.0,2.0,2.0,2.0,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,2.0,2.0,2.0,2.0,0.6667,0.6667
2.0,2.0,2.0,2.0,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,2.0,2.0,2.0,2.0,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,6.0,6.0,6.0,6.0,2.0,-2.0,-2.0,-6.0,-6.0,-2.0,-2.0,-0.5
0.6667,0.6667,0.6667,0.6667,6.0,6.0,6.0,6.0,2.0,-2.0,-2.0,-6.0,-6.0,-2.0,-2.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-0.5,0.5,1.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-0.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.0,-1.0,1.0,-1.0,-1.0,-0.5,0.5,1.0
